City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bulgan,MN,48.8125,103.5347,57.42,80,96,1.34,overcast clouds
1,Saint Anthony,US,45.0205,-93.218,80.91,68,0,17.27,clear sky
2,Vaini,TO,-21.2,-175.2,78.96,94,75,5.75,broken clouds
3,Carnarvon,AU,-24.8667,113.6333,67.96,38,0,7.47,clear sky
4,Khudumelapye,BW,-23.8833,24.75,52.92,28,6,5.59,clear sky
5,Tuktoyaktuk,CA,69.4541,-133.0374,64.53,53,92,8.7,overcast clouds
6,Viransehir,TR,37.2353,39.7631,88.61,33,0,5.3,clear sky
7,Burnie,AU,-41.0667,145.9167,57.92,55,21,6.29,few clouds
8,Kodiak,US,57.79,-152.4072,63.91,48,20,8.05,few clouds
9,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,4.61,clear sky
10,Namibe,AO,-15.1961,12.1522,61.07,87,1,7.16,clear sky
11,Barrow,US,71.2906,-156.7887,39.22,93,100,8.05,overcast clouds
12,Tasiilaq,GL,65.6145,-37.6368,42.96,74,97,3.89,overcast clouds
13,Simao,CN,22.7886,100.9748,72.16,89,96,1.25,overcast clouds
14,Butaritari,KI,3.0707,172.7902,82.87,73,84,11.79,broken clouds
15,Busselton,AU,-33.65,115.3333,58.55,62,99,12.84,overcast clouds
16,Fort Nelson,CA,58.8053,-122.7002,62.58,58,84,5.14,broken clouds
17,Rikitea,PF,-23.1203,-134.9692,70.43,59,79,17.43,broken clouds
18,Adrar,MR,20.5022,-10.0711,92.25,31,43,11.92,scattered clouds
19,Saskylakh,RU,71.9167,114.0833,63.64,52,7,8.75,clear sky
20,Port Alfred,ZA,-33.5906,26.891,58.06,80,81,10.74,broken clouds
21,Tupelo,US,34.2576,-88.7034,82.69,78,0,5.75,clear sky
22,Stepnyak,KZ,52.8339,70.7803,71.37,45,6,6.24,clear sky
23,Nikolskoye,RU,59.7035,30.7861,70.81,76,79,6.82,broken clouds
24,Bobrovytsya,UA,50.75,31.3833,63.57,92,2,5.88,clear sky
25,Bluff,NZ,-46.6,168.3333,57.79,71,35,10.38,light rain
26,San Juan De Uraba,CO,8.7592,-76.5297,76.15,91,94,6.76,overcast clouds
27,Mbandaka,CD,0.0487,18.2603,69.49,92,23,2.82,few clouds
28,Pandan,PH,14.0453,124.1694,86.31,65,100,9.22,moderate rain
29,Sikonge,TZ,-5.6333,32.7667,59.32,68,29,4.72,scattered clouds
30,Bagotville,AU,-28.9833,153.4167,72.86,59,98,10.33,overcast clouds
31,Mataura,NZ,-46.1927,168.8643,57.47,67,54,4.97,broken clouds
32,Jining,CN,35.405,116.5814,93.85,61,8,10.29,clear sky
33,Merauke,ID,-8.4667,140.3333,80.58,84,98,14.74,overcast clouds
34,Atuona,PF,-9.8,-139.0333,77.74,71,12,15.7,few clouds
35,Ushuaia,AR,-54.8,-68.3,33.46,86,0,2.3,clear sky
36,Tiksi,RU,71.6872,128.8694,41.27,83,100,12.41,overcast clouds
37,Jamestown,US,42.097,-79.2353,73.71,74,0,5.75,clear sky
38,Hermanus,ZA,-34.4187,19.2345,53.8,82,97,9.98,overcast clouds
39,Nanortalik,GL,60.1432,-45.2371,46.47,93,100,5.86,overcast clouds
40,Arraial Do Cabo,BR,-22.9661,-42.0278,69.6,79,55,15.43,broken clouds
41,Buraydah,SA,26.326,43.975,96.06,15,3,5.14,clear sky
42,Dunedin,NZ,-45.8742,170.5036,56.8,70,100,1.01,overcast clouds
43,Dikson,RU,73.5069,80.5464,41.85,100,100,11.79,light rain
44,Gravelbourg,CA,49.8834,-106.5512,54.73,65,65,13.58,broken clouds
45,Chokurdakh,RU,70.6333,147.9167,59.77,44,13,6.78,few clouds
46,Tuy Hoa,VN,13.0833,109.3,88.92,56,100,13.47,overcast clouds
47,Port Lincoln,AU,-34.7333,135.8667,56.95,63,50,15.14,scattered clouds
48,San Luis,AR,-33.295,-66.3356,51.28,46,47,6.22,scattered clouds
49,Saint-Philippe,RE,-21.3585,55.7679,66.22,66,8,9.17,clear sky
50,Gorom-Gorom,BF,14.4439,-0.2361,82.08,65,88,14.34,overcast clouds
51,Ponta Do Sol,PT,32.6667,-17.1,74.07,80,16,5.41,few clouds
52,Avarua,CK,-21.2078,-159.775,75.25,69,75,13.8,broken clouds
53,Lasa,IT,46.6166,10.7002,59.68,84,55,3.94,broken clouds
54,Bell Ville,AR,-32.6259,-62.6887,51.67,62,18,7.74,few clouds
55,Victoria,HK,22.2855,114.1577,88.25,85,89,5.01,overcast clouds
56,Narsaq,GL,60.9167,-46.05,44.82,96,100,2.53,overcast clouds
57,Guarapari,BR,-20.6667,-40.4975,73.89,87,22,16.82,few clouds
58,Cuamba,MZ,-14.8031,36.5372,59.43,72,0,0.63,clear sky
59,Bahia Honda,CU,22.9036,-83.1592,78.64,84,7,5.7,clear sky
60,Susaki,JP,33.3667,133.2833,85.6,74,26,3.51,scattered clouds
61,Caravelas,BR,-17.7125,-39.2481,72.5,79,2,9.51,clear sky
62,Baturaja,ID,-4.1333,104.1667,87.35,59,38,3.18,scattered clouds
63,Vardo,NO,70.3705,31.1107,51.78,87,100,0.0,overcast clouds
64,Albany,US,42.6001,-73.9662,75.63,88,96,2.46,overcast clouds
65,Bethel,US,41.3712,-73.414,77.9,90,0,0.0,clear sky
66,Ekimchan,RU,53.0667,132.9667,66.38,93,99,3.15,light rain
67,Tsabong,BW,-26.0217,22.401,54.34,33,91,7.0,overcast clouds
68,Sahuaripa,MX,29.05,-109.2333,73.08,87,100,4.74,overcast clouds
69,Tsagan Aman,RU,47.5639,46.7218,82.13,25,100,14.2,overcast clouds
70,Tvoroyri,FO,61.5556,-6.8111,51.71,89,99,13.15,overcast clouds
71,Georgetown,MY,5.4112,100.3354,85.95,70,20,6.91,few clouds
72,Nemuro,JP,43.3236,145.575,60.67,76,100,8.41,overcast clouds
73,Andenes,NO,69.3143,16.1194,54.93,76,100,9.22,overcast clouds
74,Plymouth,US,41.8334,-70.8328,76.82,84,0,3.44,clear sky
75,Batticaloa,LK,7.7102,81.6924,86.59,52,100,14.05,overcast clouds
76,Grindavik,IS,63.8424,-22.4338,52.27,100,100,6.91,fog
77,Castro,BR,-24.7911,-50.0119,53.42,96,19,7.2,few clouds
78,Yulara,AU,-25.2406,130.9889,62.62,22,0,6.08,clear sky
79,Kruisfontein,ZA,-34.0033,24.7314,49.6,85,48,7.0,scattered clouds
80,New Norfolk,AU,-42.7826,147.0587,47.71,70,64,3.0,broken clouds
81,Luderitz,NA,-26.6481,15.1594,58.87,60,99,3.76,overcast clouds
82,Hithadhoo,MV,-0.6,73.0833,82.27,73,76,10.96,broken clouds
83,Kamenka,RU,51.3223,42.7678,71.28,49,4,10.22,clear sky
84,Puerto Ayora,EC,-0.7393,-90.3518,70.56,92,73,7.0,broken clouds
85,Mount Gambier,AU,-37.8333,140.7667,54.64,84,24,4.88,few clouds
86,Castiglione Del Lago,IT,43.1271,12.0453,75.11,73,0,2.64,clear sky
87,Severo-Kurilsk,RU,50.6789,156.125,59.23,78,95,6.31,overcast clouds
88,Yellowknife,CA,62.456,-114.3525,55.22,63,88,8.37,overcast clouds
89,Sokoni,TZ,-6.4333,39.55,73.17,72,2,6.87,clear sky
90,Bredasdorp,ZA,-34.5322,20.0403,53.56,88,99,3.51,overcast clouds
91,Hilo,US,19.7297,-155.09,85.28,88,100,5.75,overcast clouds
92,Sao Filipe,CV,14.8961,-24.4956,77.27,81,90,5.48,overcast clouds
93,Hue,VN,16.4667,107.6,87.91,66,75,3.44,light rain
94,Yumen,CN,40.2833,97.2,83.44,24,99,19.13,overcast clouds
95,Ocos,GT,14.5094,-92.1933,71.78,77,74,5.32,broken clouds
96,Bambous Virieux,MU,-20.3428,57.7575,69.22,62,3,8.66,clear sky
97,Leningradskiy,RU,69.3833,178.4167,35.13,98,100,5.48,light snow
98,Cacoal,BR,-11.4386,-61.4472,77.72,52,97,2.59,light rain
99,Lichuan,CN,30.3,108.85,82.44,58,28,5.46,scattered clouds
100,Ilulissat,GL,69.2167,-51.1,44.62,100,100,4.61,mist
101,Monrovia,LR,6.3005,-10.7969,75.65,82,100,8.39,overcast clouds
102,Kaitangata,NZ,-46.2817,169.8464,55.58,71,91,5.55,overcast clouds
103,Tuatapere,NZ,-46.1333,167.6833,55.89,67,12,6.2,few clouds
104,Mosquera,CO,4.7059,-74.2302,55.49,82,75,2.3,light intensity drizzle
105,Hobart,AU,-42.8794,147.3294,48.06,81,75,12.66,broken clouds
106,Jaslo,PL,49.7451,21.4725,64.58,68,21,1.48,few clouds
107,Kahului,US,20.8947,-156.47,87.82,67,20,13.8,few clouds
108,Fortuna,US,40.5982,-124.1573,63.93,88,100,9.22,overcast clouds
109,Ballarat,AU,-37.5662,143.8496,48.96,72,84,4.41,broken clouds
110,Cidreira,BR,-30.1811,-50.2056,50.07,77,4,5.48,clear sky
111,San Carlos,VE,9.6612,-68.5827,71.67,97,61,2.8,broken clouds
112,Siena,IT,43.2167,11.4,72.16,78,0,2.01,clear sky
113,Qaanaaq,GL,77.484,-69.3632,36.0,66,19,3.42,few clouds
114,Ketchikan,US,55.3422,-131.6461,62.58,82,100,6.91,overcast clouds
115,Nowy Sacz,PL,49.6218,20.6971,64.6,72,57,3.2,broken clouds
116,Chuy,UY,-33.6971,-53.4616,44.13,91,2,3.98,clear sky
117,Shelburne,CA,44.0787,-80.2041,70.23,72,1,5.73,clear sky
118,Cabo San Lucas,MX,22.8909,-109.9124,87.62,71,69,7.54,broken clouds
119,Khatanga,RU,71.9667,102.5,68.95,57,29,7.92,scattered clouds
120,Mar Del Plata,AR,-38.0023,-57.5575,42.94,90,100,1.99,overcast clouds
121,Port Macquarie,AU,-31.4333,152.9167,72.9,35,3,9.86,clear sky
122,Torbay,CA,47.6666,-52.7314,66.58,91,26,8.99,scattered clouds
123,East London,ZA,-33.0153,27.9116,59.25,74,20,8.77,few clouds
124,Mujiayingzi,CN,42.1167,118.7833,90.05,31,98,3.18,overcast clouds
125,Belyy Yar,RU,53.6039,91.3903,67.89,49,0,4.47,clear sky
126,Bardiyah,LY,31.7561,25.0865,77.38,77,0,15.82,clear sky
127,Pangnirtung,CA,66.1451,-65.7125,42.08,96,100,1.01,light rain
128,Itagi,BR,-14.1628,-40.0061,62.15,98,20,0.89,few clouds
129,Aklavik,CA,68.2191,-135.0107,70.12,52,95,9.24,overcast clouds
130,Vao,NC,-22.6667,167.4833,73.44,81,11,9.86,few clouds
131,Kostino,RU,58.9097,53.2691,68.04,72,98,2.3,overcast clouds
132,Aykhal,RU,66.0,111.5,49.12,89,100,30.0,moderate rain
133,Asau,RO,46.4333,26.4,61.72,80,2,3.67,clear sky
134,Saint-Georges,GD,12.0564,-61.7485,79.65,84,59,14.9,broken clouds
135,Santa Lucia,ES,27.9117,-15.5407,63.77,83,20,26.46,few clouds
136,Kapaa,US,22.0752,-159.319,82.38,75,40,8.05,scattered clouds
137,Camacupa,AO,-12.0167,17.4833,54.36,38,38,4.94,scattered clouds
138,Dingle,PH,10.9995,122.6711,84.42,73,100,4.68,overcast clouds
139,Mendota,US,36.7536,-120.3816,79.07,49,60,9.15,broken clouds
140,Clarksville,US,36.5298,-87.3595,77.25,92,0,0.0,clear sky
141,Methoni,GR,36.8197,21.7049,81.21,58,0,6.98,clear sky
142,Saint-Francois,FR,46.4154,3.9054,63.84,68,0,6.91,clear sky
143,Finnsnes,NO,69.2296,17.9811,43.41,73,11,3.96,few clouds
144,Coxim,BR,-18.5067,-54.76,73.36,45,1,3.24,clear sky
145,Lauder,GB,55.7191,-2.7476,52.02,80,96,9.8,overcast clouds
146,Iralaya,HN,15.0,-83.2333,77.56,83,100,7.81,overcast clouds
147,Kiruna,SE,67.8557,20.2251,41.92,87,50,5.75,scattered clouds
148,Bindura,ZW,-17.3019,31.3306,51.22,70,0,2.17,clear sky
149,Lagoa,PT,39.05,-27.9833,74.01,86,60,11.5,light rain
150,Souillac,MU,-20.5167,57.5167,69.35,65,0,9.78,clear sky
151,Pangai,TO,-19.8,-174.35,77.18,84,100,14.92,light rain
152,Taltal,CL,-25.4,-70.4833,52.21,88,29,0.89,scattered clouds
153,Iracoubo,GF,5.4802,-53.2011,76.55,84,4,8.55,clear sky
154,Isangel,VU,-19.55,169.2667,79.7,69,20,9.57,few clouds
155,Biloela,AU,-24.4167,150.5,67.08,78,100,4.29,light rain
156,Gilgit,PK,35.9221,74.3087,84.22,47,30,3.67,scattered clouds
157,Tshela,CD,-4.9833,12.9333,65.12,93,71,1.66,broken clouds
158,Norman Wells,CA,65.282,-126.8329,71.76,50,74,6.89,broken clouds
159,Manzanillo,CU,20.3433,-77.1167,77.0,86,63,12.37,broken clouds
160,Faya,SA,18.3851,42.4509,63.12,71,95,2.64,overcast clouds
161,Husavik,IS,66.0449,-17.3389,50.43,71,72,6.78,broken clouds
162,Harwich,GB,51.9419,1.2844,53.37,80,41,4.0,scattered clouds
163,Penzance,GB,50.1186,-5.5371,52.48,72,69,9.51,broken clouds
164,Novyy Urengoy,RU,66.0833,76.6333,66.36,59,94,10.94,overcast clouds
165,Klaksvik,FO,62.2266,-6.589,50.92,83,80,7.78,broken clouds
166,Parksville,CA,49.3163,-124.3195,69.73,67,0,4.59,clear sky
167,Guerrero Negro,MX,27.9769,-114.0611,71.44,86,17,15.21,few clouds
168,Geraldton,AU,-28.7667,114.6,63.01,63,4,12.66,clear sky
169,Umm Kaddadah,SD,13.6017,26.6876,81.9,61,100,10.4,overcast clouds
170,Pacifica,US,37.6138,-122.4869,67.62,83,75,16.11,broken clouds
171,Esperance,AU,-33.8667,121.9,57.72,54,52,11.59,broken clouds
172,Amzya,RU,56.2354,54.3868,72.46,60,65,2.95,broken clouds
173,Provideniya,RU,64.3833,-173.3,50.63,62,58,12.66,broken clouds
174,Soyo,AO,-6.1349,12.3689,68.27,80,65,6.35,broken clouds
175,Port-Gentil,GA,-0.7193,8.7815,73.69,81,100,12.86,overcast clouds
176,Snezhnogorsk,RU,69.1933,33.2531,53.38,95,100,10.47,light rain
177,Cape Town,ZA,-33.9258,18.4232,55.9,90,20,11.99,few clouds
178,Tirumullaivasal,IN,11.2333,79.8333,83.97,62,100,18.99,overcast clouds
179,Bairnsdale,AU,-37.8333,147.6167,64.06,52,24,1.01,few clouds
180,Bowen,AU,-20.0167,148.2333,74.14,78,36,8.84,scattered clouds
181,Chicama,PE,-7.8447,-79.1469,59.54,85,96,5.08,overcast clouds
182,Shingu,JP,33.7333,135.9833,83.89,75,73,7.29,broken clouds
183,North Bend,US,43.4065,-124.2243,61.25,97,100,14.97,overcast clouds
184,Kavaratti,IN,10.5669,72.642,80.69,84,100,22.17,overcast clouds
185,Cherskiy,RU,68.75,161.3,56.91,45,100,7.2,overcast clouds
186,Moyobamba,PE,-6.05,-76.9667,63.46,98,100,0.25,overcast clouds
187,Saint George,US,37.1041,-113.5841,89.64,38,0,4.61,clear sky
188,Airai,TL,-8.9266,125.4092,76.3,48,41,3.69,scattered clouds
189,Honningsvag,NO,70.9821,25.9704,51.55,76,2,14.97,clear sky
190,Half Moon Bay,US,37.4636,-122.4286,69.04,82,100,16.11,overcast clouds
191,Mercedes,AR,-34.6515,-59.4307,43.03,64,0,5.48,clear sky
192,Avallon,FR,47.4833,3.9,53.87,77,0,6.06,clear sky
193,Thunder Bay,CA,48.4001,-89.3168,64.76,77,96,5.64,overcast clouds
194,Alta Floresta,BR,-9.8756,-56.0861,72.63,47,9,2.55,clear sky
195,Port Elizabeth,ZA,-33.918,25.5701,53.31,84,52,4.0,broken clouds
196,Coahuayana,MX,18.7333,-103.6833,78.48,87,67,2.44,broken clouds
197,Mahebourg,MU,-20.4081,57.7,69.26,62,3,9.71,clear sky
198,Lazaro Cardenas,MX,17.9583,-102.2,79.81,78,48,2.86,scattered clouds
199,Neiafu,TO,-18.65,-173.9833,77.68,94,75,5.75,light intensity shower rain
200,Ossora,RU,59.2353,163.0719,64.06,73,43,6.6,scattered clouds
201,Opuwo,NA,-18.0607,13.84,62.31,45,0,5.5,clear sky
202,Saldanha,ZA,-33.0117,17.9442,53.73,91,1,11.21,clear sky
203,Luanda,AO,-8.8368,13.2343,64.51,85,18,5.84,few clouds
204,Kawalu,ID,-7.3817,108.2082,84.92,52,86,4.68,overcast clouds
205,Waddan,LY,29.1614,16.139,77.13,52,0,5.53,clear sky
206,San Cristobal,VE,7.7669,-72.225,68.18,99,100,1.52,overcast clouds
207,Abha,SA,18.2164,42.5053,62.85,94,40,6.91,scattered clouds
208,Port Shepstone,ZA,-30.7414,30.455,67.51,82,11,17.69,few clouds
209,Lebu,CL,-37.6167,-73.65,50.25,91,100,0.89,overcast clouds
210,Pevek,RU,69.7008,170.3133,36.27,98,100,7.49,light rain
211,Olinda,BR,-8.0089,-34.8553,73.13,83,40,1.14,scattered clouds
212,Saint-Pierre,RE,-21.3393,55.4781,69.91,61,20,5.75,few clouds
213,Tokur,RU,53.1333,132.9,62.56,93,99,3.22,light rain
214,Talnakh,RU,69.4865,88.3972,60.21,59,56,6.73,broken clouds
215,Kavieng,PG,-2.5744,150.7967,83.88,68,88,0.31,overcast clouds
216,Makakilo City,US,21.3469,-158.0858,82.72,67,0,5.75,clear sky
217,Champerico,GT,14.3,-91.9167,80.42,79,89,7.36,overcast clouds
218,Olga,RU,43.7444,135.2892,73.35,98,100,3.76,light rain
219,Boone,US,39.0334,-92.3335,82.53,78,13,7.23,few clouds
220,Puerto Escondido,MX,15.85,-97.0667,77.83,78,100,5.75,overcast clouds
221,Sept-Iles,CA,50.2001,-66.3821,58.05,86,87,5.88,overcast clouds
222,Coruripe,BR,-10.1256,-36.1756,71.74,88,79,4.03,broken clouds
223,Marquette,US,46.5333,-87.6335,67.82,82,62,11.12,broken clouds
224,Jizan,SA,17.3333,42.6667,87.28,63,95,5.14,moderate rain
225,Svetlogorsk,BY,52.6333,29.7333,65.14,86,1,4.9,clear sky
226,Khorixas,NA,-20.3667,14.9667,65.48,25,4,6.8,clear sky
227,San Carlos De Bariloche,AR,-41.1456,-71.3082,30.99,96,99,4.59,light snow
228,Kidal,ML,18.4411,1.4078,88.32,41,39,6.67,scattered clouds
229,Egvekinot,RU,66.3167,-179.1667,51.78,46,84,21.5,broken clouds
230,Samarai,PG,-10.6167,150.6667,81.0,81,34,12.06,scattered clouds
231,Alveringem,BE,50.9793,2.6775,54.36,86,100,1.14,overcast clouds
232,Longyearbyen,SJ,78.2186,15.6401,49.84,76,75,9.22,broken clouds
233,Lawrence,US,38.9717,-95.2353,85.35,73,1,1.01,clear sky
234,Shakhtinsk,KZ,49.71,72.5872,71.74,29,57,15.55,broken clouds
235,Bathsheba,BB,13.2167,-59.5167,83.01,89,20,16.11,few clouds
236,Vila Velha,BR,-20.3297,-40.2925,73.94,84,75,7.0,broken clouds
237,Tilichiki,RU,60.4667,166.1,56.57,84,94,5.06,overcast clouds
238,Suhbaatar,MN,50.2314,106.2078,60.57,61,100,17.45,overcast clouds
239,Matamoros,MX,25.5333,-103.25,87.91,23,40,16.11,scattered clouds
240,Bartica,GY,6.4,-58.6167,77.32,99,88,1.61,overcast clouds
241,Kardonikskaya,RU,43.8617,41.7194,61.77,81,0,2.1,clear sky
242,Ribeira Grande,PT,38.5167,-28.7,75.33,84,92,11.63,light rain
243,Lavrentiya,RU,65.5833,-171.0,46.58,68,76,8.95,broken clouds
244,Delhi,IN,28.6667,77.2167,86.09,94,75,4.61,mist
245,Media Luna,CU,20.1419,-77.435,78.08,86,62,13.56,broken clouds
246,Khorinsk,RU,52.1657,109.7726,65.98,41,82,14.38,broken clouds
247,Thompson,CA,55.7435,-97.8558,43.92,92,100,15.46,overcast clouds
248,Kem,RU,64.9555,34.5793,66.11,67,34,12.15,scattered clouds
249,Asyut,EG,27.181,31.1837,81.23,46,98,8.66,overcast clouds
250,Rapar,IN,23.5667,70.6333,84.96,72,93,9.17,overcast clouds
251,Tabou,CI,4.423,-7.3528,73.53,74,47,4.47,scattered clouds
252,Souris,CA,49.6172,-100.2612,62.74,46,100,18.01,overcast clouds
253,Constitucion,CL,-35.3333,-72.4167,52.77,95,100,1.57,overcast clouds
254,Redlands,US,34.0556,-117.1825,85.19,51,0,9.22,clear sky
255,Lorengau,PG,-2.0226,147.2712,84.54,68,45,5.48,scattered clouds
256,Tautira,PF,-17.7333,-149.15,75.96,81,95,28.03,light rain
257,Anacortes,US,48.5126,-122.6127,65.71,75,0,0.0,clear sky
258,Assiniboia,CA,49.6334,-105.9845,54.37,62,28,14.54,scattered clouds
259,Kenora,CA,49.8167,-94.4337,71.78,60,64,8.99,broken clouds
260,Manbij,SY,36.5281,37.9549,79.63,55,0,15.61,clear sky
261,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.01,69,69,0.69,broken clouds
262,Dicabisagan,PH,17.0818,122.4157,83.93,78,62,6.76,broken clouds
263,Dezhou,CN,37.4486,116.2925,96.87,53,83,11.03,broken clouds
264,Hanzhong,CN,33.0728,107.0303,92.73,53,5,1.05,clear sky
265,Tucuman,AR,-26.8241,-65.2226,50.0,87,40,6.91,scattered clouds
266,Nome,US,64.5011,-165.4064,48.27,76,100,14.97,light rain
267,Amapa,BR,1.0,-52.0,69.78,99,15,1.86,few clouds
268,Northam,GB,51.0333,-4.2167,48.25,81,87,4.56,overcast clouds
269,Cockburn Town,TC,21.4612,-71.1419,81.82,78,21,22.03,few clouds
270,Te Anau,NZ,-45.4167,167.7167,51.8,76,33,5.68,scattered clouds
271,Clyde River,CA,70.4692,-68.5914,39.43,93,0,14.97,clear sky
272,Seymchan,RU,62.8833,152.4333,78.21,42,37,14.83,scattered clouds
273,Meybod,IR,32.2501,54.0166,84.22,19,0,2.48,clear sky
274,Faanui,PF,-16.4833,-151.75,77.34,78,68,24.29,light rain
275,Srednekolymsk,RU,67.45,153.6833,64.96,45,100,3.18,overcast clouds
276,Zhezkazgan,KZ,47.8043,67.7144,73.38,31,0,17.9,clear sky
277,Riyadh,SA,24.6877,46.7219,91.54,19,5,8.08,clear sky
278,Uruzgan,AF,32.8333,66.0,83.1,13,0,3.42,clear sky
279,Sisimiut,GL,66.9395,-53.6735,41.5,93,99,14.47,overcast clouds
280,Gravdal,NO,68.1214,13.5031,51.87,87,100,27.72,light rain
281,Vostok,RU,46.4856,135.8833,75.18,72,100,5.91,overcast clouds
282,Mahon,ES,39.8885,4.2658,75.76,83,0,3.44,clear sky
283,Henties Bay,NA,-22.116,14.2845,55.9,83,5,2.44,clear sky
284,Twistringen,DE,52.8,8.65,50.63,92,0,6.82,clear sky
285,Mascote,BR,-15.5631,-39.3025,64.98,97,35,2.62,scattered clouds
286,Susanville,US,40.4163,-120.653,75.04,43,75,11.01,broken clouds
287,Flin Flon,CA,54.7682,-101.865,47.79,87,100,10.96,overcast clouds
288,Bac Lieu,VN,9.285,105.7244,80.82,77,100,10.96,light rain
289,Olafsvik,IS,64.8945,-23.7142,52.14,94,100,12.21,overcast clouds
290,Ancud,CL,-41.8697,-73.8203,40.23,87,5,7.54,clear sky
291,Korla,CN,41.7597,86.1469,91.26,21,77,8.86,broken clouds
292,Flinders,AU,-34.5833,150.8552,65.37,48,9,11.99,clear sky
293,Santa Monica,US,34.0195,-118.4912,84.24,65,0,12.66,clear sky
294,Bukachacha,RU,52.9833,116.9167,72.1,39,7,5.88,clear sky
295,Fukue,JP,32.6881,128.8419,85.23,80,61,12.28,broken clouds
296,Dudinka,RU,69.4058,86.1778,60.62,79,93,10.36,overcast clouds
297,Aswan,EG,24.0934,32.907,87.78,25,91,8.16,overcast clouds
298,Kanbe,MM,16.7053,96.0017,84.25,93,100,11.1,overcast clouds
299,Tadine,NC,-21.55,167.8833,76.73,74,36,8.08,scattered clouds
300,Ambanja,MG,-13.6833,48.45,68.52,75,74,3.53,broken clouds
301,Pisco,PE,-13.7,-76.2167,58.01,88,40,3.44,scattered clouds
302,Ushtobe,KZ,45.2514,77.9838,84.9,24,12,10.65,few clouds
303,Zelenoborskiy,RU,66.845,32.3622,60.08,94,100,8.7,light rain
304,Alyangula,AU,-13.8483,136.4192,82.31,65,39,8.57,scattered clouds
305,Guiyang,CN,26.5833,106.7167,76.19,79,99,9.24,overcast clouds
306,Semme,FR,46.1963,1.5007,63.01,71,0,6.08,clear sky
307,Maxixe,MZ,-23.8597,35.3472,60.62,94,0,3.44,fog
308,Pryazha,RU,61.6926,33.6216,70.25,71,22,6.46,few clouds
309,Surenavan,AM,39.75,44.8,78.21,46,0,8.99,clear sky
310,Itoman,JP,26.1247,127.6694,88.18,74,40,9.22,scattered clouds
311,Tiznit,MA,29.5833,-9.5,81.66,24,24,0.65,few clouds
312,Ust-Nera,RU,64.5667,143.2,75.7,49,94,5.5,overcast clouds
313,Chapais,CA,49.7834,-74.8492,55.09,63,100,5.88,overcast clouds
314,Mezhdurechensk,RU,53.6942,88.0603,68.95,50,0,1.97,clear sky
315,Vila,PT,42.0304,-8.1588,56.28,87,52,4.32,broken clouds
316,Iqaluit,CA,63.7506,-68.5145,43.7,93,100,1.99,overcast clouds
317,Road Town,VG,18.4167,-64.6167,82.49,76,42,21.7,scattered clouds
318,Uyemskiy,RU,64.4743,40.8524,71.06,68,0,4.47,clear sky
319,Ibotirama,BR,-12.1853,-43.2206,74.73,52,37,3.8,scattered clouds
320,Santa Cruz Del Norte,CU,23.1539,-81.9236,80.28,82,69,16.2,broken clouds
321,Tigil,RU,57.8,158.6667,69.01,56,48,6.96,scattered clouds
322,Sinnamary,GF,5.3833,-52.95,77.23,83,3,9.35,clear sky
323,Boffa,GN,10.1667,-14.0333,74.5,94,100,2.42,overcast clouds
324,Abong Mbang,CM,3.9833,13.1833,66.76,97,99,3.29,overcast clouds
325,Shimoda,JP,34.6667,138.95,76.1,75,95,6.96,overcast clouds
326,Labuhan,ID,-6.8844,112.2051,86.38,52,21,1.66,few clouds
327,Nuuk,GL,64.1835,-51.7216,43.41,100,100,6.91,fog
328,Namatanai,PG,-3.6667,152.4333,85.33,64,96,2.51,overcast clouds
329,Machilipatnam,IN,16.1667,81.1333,80.55,84,99,11.39,moderate rain
330,Kieta,PG,-6.2167,155.6333,84.69,63,100,6.42,overcast clouds
331,Bereznik,RU,62.8551,42.7072,69.46,67,7,5.08,clear sky
332,Gornozavodsk,RU,58.3758,58.3211,70.23,60,74,2.77,broken clouds
